"","week.counter","week","week.first","month","season","year","dark.before.12","tmax.f","tmin.f","precip.in","snow.in","school","total","homicide","shooting","rape","robbery.carjacking","robbery.street","robbery.commercial","robbery.residence","aggravated.assault","assault.by.threat","common.assault","burglary","larceny.from.auto","larceny","auto.theft","arson","northwestern","northern","northeastern","western","central","eastern","southwestern","southern","southeastern","homicide.northwestern","homicide.northern","homicide.northeastern","homicide.western","homicide.central","homicide.eastern","homicide.southwestern","homicide.southern","homicide.southeastern","shooting.northwestern","shooting.northern","shooting.northeastern","shooting.western","shooting.central","shooting.eastern","shooting.southwestern","shooting.southern","shooting.southeastern"
"48",57,4,2011-01-24,1,1,11,6.66428571428571,34.88,24.44,0.239780172857143,1.77165,0.428571428571429,678,3,8,3,1,30,16,16,73,8,105,128,110,115,59,3,57,84,111,58,94,41,58,90,85,0,0,1,0,0,0,0,2,0,0,0,1,1,4,0,2,0,0
"49",58,5,2011-01-31,1,1,11,6.52571428571429,38.6342857142857,27.2814285714286,0.163666714285714,0,0.714285714285714,715,1,1,3,2,24,7,14,81,9,142,120,88,159,61,3,57,60,131,68,103,66,59,83,88,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"50",59,6,2011-02-07,2,1,11,6.39,39.7657142857143,22.9357142857143,0.000421821428571429,0.00843642857142857,0.714285714285714,770,3,5,4,3,38,7,6,78,9,137,147,123,147,60,3,69,67,127,66,113,80,55,97,96,1,0,2,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0
"51",60,7,2011-02-14,2,1,11,6.25714285714286,57.9714285714286,35.6,0.000421821428571429,0,0.714285714285714,813,5,6,6,6,27,4,13,80,10,170,149,134,146,55,2,78,66,154,80,99,84,58,80,114,1,0,1,0,0,2,0,1,0,1,0,0,2,1,2,0,0,0
"52",61,8,2011-02-21,2,1,11,6.12571428571429,46.22,28.0014285714286,0.1870075,0.577426668541429,0.571428571428571,765,1,4,3,2,36,10,17,90,11,164,127,110,117,70,3,89,68,133,51,96,76,57,92,103,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0
"53",62,9,2011-02-28,2,1,11,6,53.8442857142857,33.44,0.119701672857143,0,0.714285714285714,942,4,2,7,0,28,14,15,124,19,192,137,137,174,78,11,88,109,181,82,88,89,75,120,110,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0
"54",63,10,2011-03-07,3,2,11,5.74,52.5457142857143,37.2071428571429,0.630718648571429,0,0.714285714285714,896,2,10,7,4,35,25,7,114,22,166,141,138,172,51,2,92,95,155,79,92,72,69,122,120,0,1,0,0,0,0,1,0,0,1,2,1,1,0,0,0,3,2
"55",64,11,2011-03-14,3,2,11,4.75285714285714,60.17,40.0228571428571,0.0888637142857143,0,0.714285714285714,1037,4,14,5,4,36,7,14,133,16,223,132,174,188,84,3,99,93,197,79,149,104,88,128,100,0,0,0,1,1,0,1,1,0,0,0,1,5,3,5,0,0,0
"56",65,12,2011-03-21,3,2,11,4.63285714285714,50.63,36.0885714285714,0.111827672857143,0,0.714285714285714,1027,3,10,8,4,37,13,14,104,13,193,121,193,210,92,12,91,87,195,81,127,92,94,139,120,0,0,1,0,0,2,0,0,0,3,1,3,0,0,2,1,0,0
"57",66,13,2011-03-28,3,2,11,4.53285714285714,48.5857142857143,35.3042857142857,0.0638806371428571,0,0.714285714285714,940,7,4,10,0,44,8,5,108,18,165,150,115,221,76,9,91,78,157,92,113,84,78,133,114,0,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0,2
