assault_incid_c,unintent_incid_c,suicide_incid_c,undeter_incid_c,legal_incid_c,combined_incid_c,zipcode,year,weekofyr,assault_tot,unintent_tot,suicide_tot,undeter_tot,legal_tot,combined_tot,assault_incid,unintent_incid,suicide_incid,undeter_incid,legal_incid,combined_incid,_chk,zippop_tag
0,0,0,0,0,0,55438,2018,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55438,2019,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55438,2020,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55439,2016,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55439,2017,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55439,2018,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55439,2019,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55439,2020,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55440,2016,33,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,55440,2017,33,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,55440,2018,33,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,55440,2019,33,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,55440,2020,33,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,55441,2016,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55441,2017,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55441,2018,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55441,2019,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55441,2020,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55442,2016,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55442,2017,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55442,2018,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55442,2019,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55442,2020,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,3.0738964712,0,0,0,3.0738964712,55443,2016,33,0,1,0,0,0,1,0,0.000030739,0,0,0,0.000030739,,0
0,0,0,0,0,0,55443,2017,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55443,2018,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55443,2019,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55443,2020,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55444,2016,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55444,2017,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55444,2018,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55444,2019,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55444,2020,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55445,2016,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55445,2017,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,8.2358754736,0,0,0,8.2358754736,55445,2018,33,0,1,0,0,0,1,0,0.0000823588,0,0,0,0.0000823588,,0
0,0,0,0,0,0,55445,2019,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,7.7053475112,0,0,0,7.7053475112,55445,2020,33,0,1,0,0,0,1,0,0.0000770535,0,0,0,0.0000770535,,0
0,0,0,0,0,0,55446,2016,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55446,2017,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55446,2018,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55446,2019,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55446,2020,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55447,2016,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,4.6952765518,0,0,4.6952765518,55447,2017,33,0,0,1,0,0,1,0,0,0.0000469528,0,0,0.0000469528,,0
0,0,0,0,0,0,55447,2018,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55447,2019,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
4.5493835585,0,0,0,0,4.5493835585,55447,2020,33,1,0,0,0,0,1,0.0000454938,0,0,0,0,0.0000454938,,0
0,0,0,0,0,0,55448,2016,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55448,2017,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55448,2018,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55448,2019,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55448,2020,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55449,2016,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55449,2017,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55449,2018,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55449,2019,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55449,2020,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55450,2016,33,,,,,,,,,,,,,,0
0,0,0,0,0,0,55450,2017,33,,,,,,,,,,,,,,0
0,0,0,0,0,0,55450,2018,33,,,,,,,,,,,,,,0
0,0,0,0,0,0,55450,2019,33,,,,,,,,,,,,,,0
0,0,0,0,0,0,55450,2020,33,,,,,,,,,,,,,,0
0,0,0,0,0,0,55454,2016,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
10.339123242,10.339123242,0,0,0,20.678246485,55454,2017,33,1,1,0,0,0,2,0.0001033912,0.0001033912,0,0,0,0.0002067825,,0
0,0,0,0,0,0,55454,2018,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55454,2019,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,9.9760574621,0,9.9760574621,55454,2020,33,0,0,0,1,0,1,0,0,0,0.0000997606,0,0.0000997606,,0
0,0,0,0,0,0,55455,2016,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55455,2017,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55455,2018,33,,,,,,,,,,,,,,0
0,0,0,0,0,0,55455,2019,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55455,2020,33,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,55458,2016,33,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,55458,2017,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55458,2018,33,0,0,0,0,0,0,0,0,0,0,0,0,,1
